"","alue","tunnus","väestö","tulot","suomenkieliset","ruotsinkieliset","vieraskieliset","ylempi_kork","perusaste","työttömyys","työvoima","työvoiman_ulkop","alle_15","opiskelijat","eläkeläiset"
"109","Siltasaari","111",2363,40540,84,4.9,11.1,30,13.6,8.3,65,35,5.6,7.4,21.9
"110","Sompasaari","103",2690,41661,81.9,4,14.1,31,15.6,6.7,64.2,35.8,18.1,7.2,10.4
"111","Suomenlinna","520",664,34231,92.8,4.2,3,30.6,19.8,9.3,52.8,47.2,22.8,8.9,15.4
"112","Taka-Töölö","140",15343,43793,82.1,9.8,8.1,34.2,13.5,6.5,59,41,10.2,7.4,23.4
"113","Tali","462",1000,27119,65.8,2.6,31.6,12.8,30.7,16.3,50.3,49.7,18,10.2,21.5
"114","Talinranta","306",1083,29169,71.6,5.2,23.3,16.7,27,11.4,53.5,46.5,14.5,12,20
"115","Talosaari","570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Tammisalo","440",2257,71116,86.8,6.6,6.6,40.6,15.1,5.6,47.5,52.5,19.8,6.5,26.2
"117","Tapanila","392",6288,32129,83.2,2.7,14.1,19.9,24.4,10.2,53.6,46.4,17.6,7.3,21.5
"118","Tapaninvainio","391",8040,39951,88.8,4.2,7,20.6,20.2,6.7,50.3,49.7,16.7,6,27
"119","Tapulikaupunki","402",8741,30146,68.5,1.6,29.9,12.7,33.3,13.9,50.2,49.8,17.4,8.6,23.8
"120","Tattariharju","384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Tattarisuo","413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Torkkelinmäki","113",6735,30719,83.7,4.8,11.5,24.3,15.5,10.2,71.7,28.3,3.3,9.5,15.5
"123","Torpparinmäki","352",2785,41945,88.2,3.3,8.5,24.6,22.1,5.4,49.2,50.8,22.8,7.9,20.1
"124","Toukola","231",1426,32312,87.2,5,7.8,28.9,20.5,11.9,56.6,43.4,12.9,7.4,23.1
"125","Tullisaari","493",1373,33776,78.4,5.2,16.5,23.3,18.3,9.8,59.4,40.6,14.3,7.8,18.4
"126","Tuomarinkartano","353",287,NA,90.2,0.7,9.1,16.8,29.7,9.6,50.9,49.1,29.6,10.5,9.1
"127","Töyrynummi","403",3406,37451,83.2,2.8,13.9,15.5,24.3,8.2,50.8,49.2,19.7,6.8,22.7
"128","Ullanlinna","070",10774,67906,71.9,19.8,8.3,36.7,13.6,6,57,43,11.8,7.7,23.5
"129","Uutela","543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Vallila","220",10714,32541,85.9,4.1,10,26.5,16.2,9.1,64.7,35.3,10.2,9.8,15.4
"131","Vanha Munkkiniemi","301",9280,54015,80.1,13.4,6.5,38.5,14.3,6,49.5,50.5,14.3,7.3,28.8
"132","Vanha Ruskeasuo","161",2798,35185,82.7,9.5,7.8,31.3,13.6,8.2,55.5,44.5,10.6,11.5,22.4
"133","Vanhakaupunki","270",765,30965,87.8,3.1,9,27.2,15.8,10.5,59.7,40.3,18.7,8.8,12.8
"134","Vartioharju","451",6235,39013,83.4,6.6,10,20.6,23,7.1,52.1,47.9,16.8,8,23.1
"135","Vartiosaari","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Vattuniemi","312",8815,56309,79.3,11.7,9,38.5,13.9,5.1,53.1,46.9,15.6,5,26.3
"137","Veräjälaakso","287",1182,28853,74.4,1.3,24.4,13.8,27.9,12.2,56.7,43.3,19.2,7.4,16.8
"138","Veräjämäki","285",3169,43547,84.9,3.7,11.4,33.1,19.5,7,51.9,48.1,17.8,7.4,23
"139","Vesala","472",7202,27995,64.7,2.3,33,8.9,36.5,16.3,49.7,50.3,16.4,9.5,24.4
"140","Viikin tiedepuisto","363",1200,20884,62.1,2.1,35.8,17.7,23.5,5.2,51.7,48.3,7.1,28.6,12.7
"141","Viikinmäki","364",3122,32731,75,2.2,22.7,19.8,23.4,10.8,55.3,44.7,20.2,7.4,17.2
"142","Viikinranta","361",1280,46721,90,4.3,5.7,37.1,11.2,4.4,56.7,43.3,17.3,4.9,21
"143","Vilhonvuori","101",6845,33080,81.5,3.4,15.1,23.3,18.9,9.1,64.5,35.5,5.6,7.8,22.1
"144","Villinki","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Yliskylä","491",13449,33353,80.1,5.5,14.5,21.9,22.2,10.7,50,50,16.4,7,26.6
"146","Ylä-Malmi","381",6239,26576,65.5,1.8,32.7,9.4,36.9,16.8,50.8,49.2,14.9,7.8,26.5
"147","Östersundom","550",440,49242,73.9,18.2,8,15.9,28.2,15.3,48.9,51.1,13,9.1,29.1
