"alue","lat","lon"
"Santahamina",60.1397179676627,25.0692295182664
"Siltamäki",60.2764250249377,24.9975784966405
"Siltasaari",60.1786977138223,24.9507755859335
"Sompasaari",60.1790139728934,24.9747820083046
"Suomenlinna",60.1402676890803,24.9984438027644
"Taka-Töölö",60.1836045259025,24.9202366160635
"Tali",60.2135676742424,24.8549626404769
"Talinranta",60.2065196380952,24.8578064295055
"Tammisalo",60.191044717346,25.0636030266327
"Tapanila",60.2628401433868,25.0226809602937
"Tapaninvainio",60.2600051749333,24.9926442720578
"Tapulikaupunki",60.2785410977338,25.0264985878743
"Torkkelinmäki",60.1851921698132,24.9565204559559
"Torpparinmäki",60.2606785106909,24.9511221698054
"Toukola",60.2079120665579,24.9712574801831
"Töyrynummi",60.2705220008352,25.0030345402865
"Tullisaari",60.178723189569,25.0305418824195
"Tuomarinkartano",60.2560613957423,24.9651698896651
"Ullanlinna",60.1548668398642,24.9474395054761
"Vallila",60.1951411993203,24.9538455998176
"Vanha Munkkiniemi",60.1976001530928,24.8683580728443
"Vanha Ruskeasuo",60.202341255637,24.9081930363719
"Vanhakaupunki",60.2139926269732,24.9789886995823
"Vartioharju",60.2206661443514,25.1077270964506
"Vattuniemi",60.1483060906118,24.8844015995899
"Veräjälaakso",60.2337590798977,24.9838497201027
"Veräjämäki",60.226936012137,24.9745511692849
"Vesala",60.2386979996675,25.0981357270629
"Viikin tiedepuisto",60.2268691148364,25.0161127452792
"Viikinmäki",60.2268453885799,24.9909400289289
"Viikinranta",60.2150645149615,25.0054887648364
"Vilhonvuori",60.1824024409002,24.9621070550338
"Ylä-Malmi",60.2534607664092,25.0040277648486
"Yliskylä",60.175398837792,25.053208824997
